delay_ms,lfm_db,kaiser_db,fosm_db
-50.0000,-140.0000,-140.0000,-140.0000
-49.9583,-64.7984,-65.4582,-65.4614
-49.9167,-64.7483,-59.4418,-59.4447
-49.8750,-70.4443,-81.4405,-81.4168
-49.8333,-54.2699,-52.5857,-52.5900
-49.7917,-48.5287,-49.2876,-49.2903
-49.7500,-46.2067,-65.6354,-65.6229
-49.7083,-46.7514,-47.1999,-47.2046
-49.6667,-52.0830,-45.7696,-45.7718
-49.6250,-58.9102,-61.9096,-61.9314
-49.5833,-45.5389,-42.9446,-42.9487
-49.5417,-41.3634,-46.2345,-46.2351
-49.5000,-40.4137,-46.6444,-46.6515
-49.4583,-42.5711,-40.8934,-40.8965
-49.4167,-52.2608,-60.8053,-60.7859
-49.3750,-47.5667,-40.4714,-40.4760
-49.3333,-39.7090,-43.3195,-43.3208
-49.2917,-37.2141,-44.0496,-44.0563
-49.2500,-37.7832,-39.3609,-39.3641
-49.2083,-42.5475,-60.4902,-60.5168
-49.1667,-58.4179,-38.6432,-38.6475
-49.1250,-39.6972,-46.6984,-46.6985
-49.0833,-35.5038,-40.1793,-40.1846
-49.0417,-34.9565,-40.9550,-40.9579
-49.0000,-37.9289,-44.4266,-44.4333
-48.9583,-51.9631,-38.9395,-38.9435
-48.9167,-40.5615,-56.7207,-56.7351
-48.8750,-34.5319,-38.7482,-38.7527
-48.8333,-33.1638,-50.8100,-50.8103
-48.7917,-35.2414,-39.9466,-39.9515
-48.7500,-44.5730,-43.9119,-43.9151
-48.7083,-41.5391,-42.6402,-42.6455
-48.6667,-33.8409,-41.1805,-41.1842
-48.6250,-31.9685,-47.8307,-47.8366
-48.5833,-33.6664,-40.0604,-40.0642
-48.5417,-41.8358,-64.9636,-64.9756
-48.5000,-41.7107,-39.8782,-39.8818
-48.4583,-33.1636,-51.1164,-51.1199
-48.4167,-31.1737,-40.3430,-40.3460
-48.3750,-32.9219,-44.7545,-44.7586
-48.3333,-41.4531,-41.2889,-41.2910
-48.2917,-40.5381,-41.5585,-41.5627
-48.2500,-32.4398,-42.5911,-42.5917
-48.2083,-30.7536,-39.5944,-39.5987
-48.1667,-32.9813,-44.1193,-44.1176
-48.1250,-43.5166,-38.3018,-38.3061
-48.0833,-38.4708,-45.7045,-45.6997
-48.0417,-31.8142,-37.4415,-37.4459
-48.0000,-30.8182,-47.1257,-47.1171
-47.9583,-34.0005,-36.8947,-36.8992
-47.9167,-50.6946,-48.1505,-48.1380
-47.8750,-36.4352,-36.5983,-36.6029
-47.8333,-31.5643,-48.6418,-48.6263
-47.7917,-31.5657,-36.5148,-36.5196
-47.7500,-36.2903,-48.6501,-48.6332
-47.7083,-54.8892,-36.6142,-36.6192
-47.6667,-35.1404,-48.3771,-48.3598
-47.6250,-31.9849,-36.8587,-36.8639
-47.5833,-33.1798,-48.0432,-48.0261
-47.5417,-40.2300,-37.1909,-37.1963
-47.5000,-44.7944,-47.7750,-47.7581
-47.4583,-34.9512,-37.5298,-37.5353
-47.4167,-33.2048,-47.5486,-47.5314
-47.3750,-35.5424,-37.7832,-37.7887
-47.3333,-45.6169,-47.1733,-47.1558
-47.2917,-42.5651,-37.8841,-37.8898
-47.2500,-35.7653,-46.3567,-46.3395
-47.2083,-34.7828,-37.8392,-37.8453
-47.1667,-37.6401,-44.8999,-44.8841
-47.1250,-49.5556,-37.7564,-37.7635
-47.0833,-42.6760,-42.8935,-42.8803
-47.0417,-36.4501,-37.8345,-37.8433
-47.0000,-35.3814,-40.6683,-40.6583
-46.9583,-38.1233,-38.3390,-38.3505
-46.9167,-51.5428,-38.5812,-38.5743
-46.8750,-41.1232,-39.6193,-39.6354
-46.8333,-35.2457,-36.8876,-36.8839
-46.7917,-34.5102,-42.2654,-42.2904
-46.7500,-38.5248,-35.7378,-35.7370
-46.7083,-57.5735,-47.9512,-48.0027
-46.6667,-36.4788,-35.2116,-35.2136
-46.6250,-33.0029,-72.0268,-71.2523
-46.5833,-34.4086,-35.3483,-35.3534
-46.5417,-44.8748,-46.9392,-46.8985
-46.5000,-38.8614,-36.1658,-36.1742
-46.4583,-32.6100,-41.6905,-41.6723
-46.4167,-32.5582,-37.6847,-37.6975
-46.3750,-39.0446,-39.0309,-39.0210
-46.3333,-42.5281,-40.0076,-40.0270
-46.2917,-33.0224,-37.4794,-37.4744
-46.2500,-31.9631,-43.6112,-43.6433
-46.2083,-36.7317,-36.5027,-36.5015
-46.1667,-48.6858,-50.9698,-51.0496
-46.1250,-34.2297,-35.9273,-35.9297
-46.0833,-32.2947,-56.1753,-56.0294
-46.0417,-35.8377,-35.8633,-35.8700
-46.0000,-80.9728,-43.5655,-43.5335
-45.9583,-36.4879,-36.6949,-36.7076
-45.9167,-33.3779,-38.4313,-38.4176
-45.8750,-35.5121,-39.2404,-39.2643
-45.8333,-47.4442,-35.6424,-35.6376
-45.7917,-40.4679,-46.2686,-46.3320
-45.7500,-34.9296,-34.5007,-34.5028
-45.7083,-35.0879,-51.3914,-51.2796
-45.6667,-40.9205,-34.9587,-34.9680
-45.6250,-48.0881,-39.9061,-39.8824
-45.5833,-36.2965,-37.3948,-37.4148
-45.5417,-34.1863,-36.1412,-36.1330
-45.5000,-37.2101,-43.4667,-43.5149
-45.4583,-80.6498,-34.9021,-34.9025
-45.4167,-36.5958,-60.9592,-60.6120
-45.3750,-33.0167,-35.3275,-35.3356
-45.3333,-35.2836,-42.0935,-42.0604
-45.2917,-57.5772,-37.3362,-37.3542
-45.2500,-35.7648,-37.5129,-37.5006
-45.2083,-32.1868,-41.8813,-41.9206
-45.1667,-34.9790,-35.4971,-35.4950
-45.1250,-75.5422,-60.3216,-60.6858
-45.0833,-34.8577,-35.0616,-35.0680
-45.0417,-32.2100,-42.9877,-42.9441
-45.0000,-36.1023,-36.5035,-36.5215
-44.9583,-52.4215,-36.6701,-36.6568
-44.9167,-34.8657,-41.7928,-41.8401
-44.8750,-33.1322,-34.2572,-34.2570
-44.8333,-37.7621,-54.6959,-54.4778
-44.7917,-50.7571,-34.5118,-34.5232
-44.7500,-35.8959,-38.3575,-38.3324
-44.7083,-34.1545,-38.1901,-38.2216
-44.6667,-38.1808,-34.4975,-34.4925
-44.6250,-56.1123,-54.8007,-55.0471
-44.5833,-36.6309,-34.1780,-34.1856
-44.5417,-33.9928,-40.9735,-40.9334
-44.5000,-37.2979,-36.9607,-36.9850
