time_us,f_lfm_mhz,f_tan_mhz,f_kaiser_mhz,f_fosm_mhz
-3.333500e+01,-1.000000e+01,-1.000000e+01,-1.000000e+01,-1.000000e+01
-3.330245e+01,-9.990234e+00,-9.938665e+00,-8.901156e+00,-9.112648e+00
-3.326989e+01,-9.980469e+00,-9.878042e+00,-8.556592e+00,-8.719384e+00
-3.323734e+01,-9.970703e+00,-9.818119e+00,-8.326114e+00,-8.453567e+00
-3.320479e+01,-9.960938e+00,-9.758883e+00,-8.148693e+00,-8.249386e+00
-3.317223e+01,-9.951172e+00,-9.700322e+00,-8.002710e+00,-8.082139e+00
-3.313968e+01,-9.941406e+00,-9.642424e+00,-7.877776e+00,-7.939701e+00
-3.310712e+01,-9.931641e+00,-9.585179e+00,-7.768032e+00,-7.815164e+00
-3.307457e+01,-9.921875e+00,-9.528574e+00,-7.669822e+00,-7.704202e+00
-3.304202e+01,-9.912109e+00,-9.472600e+00,-7.580702e+00,-7.603919e+00
-3.300946e+01,-9.902344e+00,-9.417245e+00,-7.498949e+00,-7.512271e+00
-3.297691e+01,-9.892578e+00,-9.362499e+00,-7.423303e+00,-7.427766e+00
-3.294436e+01,-9.882812e+00,-9.308352e+00,-7.352807e+00,-7.349274e+00
-3.291180e+01,-9.873047e+00,-9.254794e+00,-7.286723e+00,-7.275921e+00
-3.287925e+01,-9.863281e+00,-9.201815e+00,-7.224462e+00,-7.207014e+00
-3.284669e+01,-9.853516e+00,-9.149405e+00,-7.165552e+00,-7.141994e+00
-3.281414e+01,-9.843750e+00,-9.097556e+00,-7.109604e+00,-7.080406e+00
-3.278159e+01,-9.833984e+00,-9.046258e+00,-7.056296e+00,-7.021870e+00
-3.274903e+01,-9.824219e+00,-8.995502e+00,-7.005356e+00,-6.966069e+00
-3.271648e+01,-9.814453e+00,-8.945280e+00,-6.956555e+00,-6.912732e+00
-3.268393e+01,-9.804688e+00,-8.895582e+00,-6.909697e+00,-6.861629e+00
-3.265137e+01,-9.794922e+00,-8.846402e+00,-6.864610e+00,-6.812562e+00
-3.261882e+01,-9.785156e+00,-8.797730e+00,-6.821148e+00,-6.765356e+00
-3.258626e+01,-9.775391e+00,-8.749558e+00,-6.779180e+00,-6.719862e+00
-3.255371e+01,-9.765625e+00,-8.701879e+00,-6.738592e+00,-6.675946e+00
-3.252116e+01,-9.755859e+00,-8.654684e+00,-6.699283e+00,-6.633490e+00
-3.248860e+01,-9.746094e+00,-8.607967e+00,-6.661163e+00,-6.592390e+00
-3.245605e+01,-9.736328e+00,-8.561720e+00,-6.624152e+00,-6.552553e+00
-3.242350e+01,-9.726563e+00,-8.515936e+00,-6.588177e+00,-6.513894e+00
-3.239094e+01,-9.716797e+00,-8.470608e+00,-6.553173e+00,-6.476337e+00
-3.235839e+01,-9.707031e+00,-8.425729e+00,-6.519080e+00,-6.439815e+00
-3.232583e+01,-9.697266e+00,-8.381291e+00,-6.485846e+00,-6.404266e+00
-3.229328e+01,-9.687500e+00,-8.337289e+00,-6.453420e+00,-6.369633e+00
-3.226073e+01,-9.677734e+00,-8.293716e+00,-6.421759e+00,-6.335864e+00
