delay_us,autocorr_H_db,crosscorr_HV_db
-9.999593e+00,-1.400000e+02,-1.400000e+02
-9.995524e+00,-1.400000e+02,-1.400000e+02
-9.991455e+00,-1.400000e+02,-1.400000e+02
-9.987386e+00,-1.400000e+02,-1.400000e+02
-9.983317e+00,-1.400000e+02,-1.400000e+02
-9.979248e+00,-1.400000e+02,-1.400000e+02
-9.975179e+00,-1.400000e+02,-1.400000e+02
-9.971110e+00,-1.400000e+02,-1.400000e+02
-9.967041e+00,-1.400000e+02,-1.400000e+02
-9.962972e+00,-1.400000e+02,-1.400000e+02
-9.958903e+00,-1.400000e+02,-1.400000e+02
-9.954834e+00,-1.400000e+02,-1.400000e+02
-9.950765e+00,-1.400000e+02,-1.400000e+02
-9.946696e+00,-1.400000e+02,-1.400000e+02
-9.942627e+00,-1.400000e+02,-1.400000e+02
-9.938558e+00,-1.400000e+02,-1.400000e+02
-9.934489e+00,-1.400000e+02,-1.400000e+02
-9.930420e+00,-1.400000e+02,-1.400000e+02
-9.926351e+00,-1.400000e+02,-1.400000e+02
-9.922282e+00,-1.400000e+02,-1.400000e+02
-9.918213e+00,-1.400000e+02,-1.400000e+02
-9.914144e+00,-1.400000e+02,-1.400000e+02
-9.910075e+00,-1.400000e+02,-1.400000e+02
-9.906006e+00,-1.400000e+02,-1.400000e+02
-9.901937e+00,-1.400000e+02,-1.400000e+02
-9.897868e+00,-1.400000e+02,-1.400000e+02
-9.893799e+00,-1.400000e+02,-1.400000e+02
-9.889730e+00,-1.400000e+02,-1.400000e+02
-9.885661e+00,-1.400000e+02,-1.400000e+02
-9.881592e+00,-1.400000e+02,-1.400000e+02
-9.877523e+00,-1.400000e+02,-1.400000e+02
-9.873454e+00,-1.400000e+02,-1.400000e+02
-9.869385e+00,-1.400000e+02,-1.400000e+02
-9.865316e+00,-1.400000e+02,-1.400000e+02
-9.861247e+00,-1.400000e+02,-1.400000e+02
-9.857178e+00,-1.400000e+02,-1.400000e+02
-9.853109e+00,-1.400000e+02,-1.400000e+02
-9.849040e+00,-1.400000e+02,-1.400000e+02
-9.844971e+00,-1.400000e+02,-1.400000e+02
-9.840902e+00,-1.400000e+02,-1.400000e+02
-9.836833e+00,-1.400000e+02,-1.400000e+02
-9.832764e+00,-1.400000e+02,-1.400000e+02
-9.828695e+00,-1.400000e+02,-1.400000e+02
-9.824626e+00,-1.400000e+02,-1.400000e+02
-9.820557e+00,-1.400000e+02,-1.400000e+02
-9.816488e+00,-1.400000e+02,-1.400000e+02
-9.812419e+00,-1.400000e+02,-1.400000e+02
-9.808350e+00,-1.400000e+02,-1.400000e+02
-9.804281e+00,-1.400000e+02,-1.400000e+02
-9.800212e+00,-1.400000e+02,-1.400000e+02
-9.796143e+00,-1.400000e+02,-1.400000e+02
-9.792074e+00,-1.400000e+02,-1.400000e+02
-9.788005e+00,-1.400000e+02,-1.400000e+02
-9.783936e+00,-1.400000e+02,-1.400000e+02
-9.779867e+00,-1.400000e+02,-1.400000e+02
-9.775798e+00,-1.400000e+02,-1.400000e+02
-9.771729e+00,-1.400000e+02,-1.400000e+02
-9.767660e+00,-1.400000e+02,-1.400000e+02
-9.763590e+00,-1.400000e+02,-1.400000e+02
-9.759521e+00,-1.400000e+02,-1.400000e+02
-9.755452e+00,-1.400000e+02,-1.400000e+02
-9.751383e+00,-1.400000e+02,-1.400000e+02
-9.747314e+00,-1.400000e+02,-1.400000e+02
-9.743245e+00,-1.400000e+02,-1.400000e+02
-9.739176e+00,-1.400000e+02,-1.400000e+02
-9.735107e+00,-1.400000e+02,-1.400000e+02
-9.731038e+00,-1.400000e+02,-1.400000e+02
-9.726969e+00,-1.400000e+02,-1.400000e+02
-9.722900e+00,-1.400000e+02,-1.400000e+02
-9.718831e+00,-1.400000e+02,-1.400000e+02
-9.714762e+00,-1.400000e+02,-1.400000e+02
-9.710693e+00,-1.400000e+02,-1.400000e+02
-9.706624e+00,-1.400000e+02,-1.400000e+02
-9.702555e+00,-1.400000e+02,-1.400000e+02
-9.698486e+00,-1.400000e+02,-1.400000e+02
-9.694417e+00,-1.400000e+02,-1.400000e+02
-9.690348e+00,-1.400000e+02,-1.400000e+02
-9.686279e+00,-1.400000e+02,-1.400000e+02
-9.682210e+00,-1.400000e+02,-1.400000e+02
-9.678141e+00,-1.400000e+02,-1.400000e+02
-9.674072e+00,-1.400000e+02,-1.400000e+02
-9.670003e+00,-1.400000e+02,-1.400000e+02
-9.665934e+00,-1.400000e+02,-1.400000e+02
-9.661865e+00,-1.400000e+02,-1.400000e+02
-9.657796e+00,-1.400000e+02,-1.400000e+02
-9.653727e+00,-1.400000e+02,-1.400000e+02
-9.649658e+00,-1.400000e+02,-1.400000e+02
-9.645589e+00,-1.400000e+02,-1.400000e+02
-9.641520e+00,-1.400000e+02,-1.400000e+02
-9.637451e+00,-1.400000e+02,-1.400000e+02
-9.633382e+00,-1.400000e+02,-1.400000e+02
-9.629313e+00,-1.400000e+02,-1.400000e+02
-9.625244e+00,-1.400000e+02,-1.400000e+02
-9.621175e+00,-1.400000e+02,-1.400000e+02
-9.617106e+00,-1.400000e+02,-1.400000e+02
-9.613037e+00,-1.400000e+02,-1.400000e+02
-9.608968e+00,-1.400000e+02,-1.400000e+02
-9.604899e+00,-1.400000e+02,-1.400000e+02
-9.600830e+00,-1.400000e+02,-1.400000e+02
-9.596761e+00,-1.400000e+02,-1.400000e+02
-9.592692e+00,-1.400000e+02,-1.400000e+02
-9.588623e+00,-1.400000e+02,-1.400000e+02
-9.584554e+00,-1.400000e+02,-1.400000e+02
-9.580485e+00,-1.400000e+02,-1.400000e+02
-9.576416e+00,-1.400000e+02,-1.400000e+02
-9.572347e+00,-1.400000e+02,-1.400000e+02
-9.568278e+00,-1.400000e+02,-1.400000e+02
-9.564209e+00,-1.400000e+02,-1.400000e+02
-9.560140e+00,-1.400000e+02,-1.400000e+02
-9.556071e+00,-1.400000e+02,-1.400000e+02
-9.552002e+00,-1.400000e+02,-1.400000e+02
-9.547933e+00,-1.400000e+02,-1.400000e+02
-9.543864e+00,-1.400000e+02,-1.400000e+02
-9.539795e+00,-1.400000e+02,-1.400000e+02
-9.535726e+00,-1.400000e+02,-1.400000e+02
-9.531657e+00,-1.400000e+02,-1.400000e+02
-9.527588e+00,-1.400000e+02,-1.400000e+02
-9.523519e+00,-1.400000e+02,-1.400000e+02
-9.519450e+00,-1.400000e+02,-1.400000e+02
-9.515381e+00,-1.400000e+02,-1.400000e+02
-9.511312e+00,-1.400000e+02,-1.400000e+02
-9.507243e+00,-1.400000e+02,-1.400000e+02
-9.503174e+00,-1.400000e+02,-1.400000e+02
-9.499105e+00,-1.400000e+02,-1.400000e+02
-9.495036e+00,-1.400000e+02,-1.400000e+02
-9.490967e+00,-1.400000e+02,-1.400000e+02
-9.486898e+00,-1.400000e+02,-1.400000e+02
-9.482829e+00,-1.400000e+02,-1.400000e+02
-9.478760e+00,-1.400000e+02,-1.400000e+02
-9.474691e+00,-1.400000e+02,-1.400000e+02
-9.470622e+00,-1.400000e+02,-1.400000e+02
-9.466553e+00,-1.400000e+02,-1.400000e+02
-9.462484e+00,-1.400000e+02,-1.400000e+02
-9.458415e+00,-1.400000e+02,-1.400000e+02
-9.454346e+00,-1.400000e+02,-1.400000e+02
-9.450277e+00,-1.400000e+02,-1.400000e+02
-9.446208e+00,-1.400000e+02,-1.400000e+02
-9.442139e+00,-1.400000e+02,-1.400000e+02
