fd_khz,loss_lfm_db,loss_fosm_db,loss_tangent_db
0.000000e+00,-0.000000e+00,-0.000000e+00,-0.000000e+00
1.000000e+00,6.360042e-02,6.360042e-02,6.360042e-02
2.000000e+00,2.555318e-01,2.555318e-01,2.555318e-01
3.000000e+00,5.792822e-01,3.034176e-01,5.665696e-01
4.000000e+00,1.041009e+00,1.193669e-01,3.301035e-01
5.000000e+00,1.496234e+00,6.119220e-02,2.161989e-01
6.000000e+00,9.233000e-01,1.291004e-01,2.254145e-01
7.000000e+00,4.950558e-01,3.255188e-01,3.603635e-01
8.000000e+00,2.029372e-01,4.351065e-01,6.259552e-01
9.000000e+00,4.146456e-02,2.690113e-01,9.175212e-01
1.000000e+01,7.727626e-03,2.246465e-01,7.947750e-01
1.100000e+01,1.011287e-01,3.036043e-01,7.838024e-01
1.200000e+01,3.233312e-01,5.096109e-01,8.890556e-01
1.300000e+01,6.784039e-01,6.241535e-01,1.116950e+00
1.400000e+01,1.173189e+00,4.887711e-01,1.476424e+00
1.500000e+01,1.351272e+00,4.699788e-01,1.582563e+00
1.600000e+01,8.137631e-01,5.707675e-01,1.613122e+00
1.700000e+01,4.184644e-01,7.961771e-01,1.746534e+00
1.800000e+01,1.576149e-01,8.486629e-01,1.990892e+00
1.900000e+01,2.638229e-02,7.570460e-01,2.342789e+00
2.000000e+01,2.241793e-02,7.767385e-01,2.397408e+00
2.100000e+01,1.456517e-01,9.120854e-01,2.537026e+00
2.200000e+01,3.982860e-01,1.169445e+00,2.732701e+00
2.300000e+01,7.849877e-01,1.093869e+00,2.786923e+00
2.400000e+01,1.313317e+00,1.057528e+00,2.896533e+00
2.500000e+01,1.215034e+00,1.127947e+00,2.854382e+00
2.600000e+01,7.122462e-01,1.310743e+00,2.881996e+00
2.700000e+01,3.494012e-01,1.423602e+00,2.982435e+00
2.800000e+01,1.194944e-01,1.352867e+00,3.087706e+00
2.900000e+01,1.831433e-02,1.380684e+00,3.049030e+00
3.000000e+01,4.406052e-02,1.512172e+00,3.080703e+00
3.100000e+01,1.971881e-01,1.714177e+00,3.186550e+00
3.200000e+01,4.804465e-01,1.624197e+00,3.371260e+00
3.300000e+01,8.991214e-01,1.625830e+00,3.407803e+00
3.400000e+01,1.461527e+00,1.723797e+00,3.445350e+00
3.500000e+01,1.087323e+00,1.924277e+00,3.552709e+00
3.600000e+01,6.186087e-01,1.857832e+00,3.735329e+00
3.700000e+01,2.877684e-01,1.842788e+00,3.815671e+00
3.800000e+01,8.851302e-02,1.918279e+00,3.890434e+00
3.900000e+01,1.722833e-02,2.089948e+00,4.019934e+00
4.000000e+01,7.265171e-02,2.059189e+00,4.045080e+00
4.100000e+01,2.557635e-01,2.031357e+00,4.124025e+00
4.200000e+01,5.698711e-01,2.089569e+00,4.093414e+00
4.300000e+01,1.020903e+00,2.239033e+00,4.109862e+00
4.400000e+01,1.547887e+00,2.242229e+00,4.181223e+00
4.500000e+01,9.679558e-01,2.202497e+00,4.226167e+00
4.600000e+01,5.327214e-01,2.245146e+00,4.205467e+00
4.700000e+01,2.334774e-01,2.375045e+00,4.239557e+00
4.800000e+01,6.461538e-02,2.419675e+00,4.331361e+00
4.900000e+01,2.309871e-02,2.368482e+00,4.443934e+00
5.000000e+01,1.081945e-01,2.396337e+00,4.439674e+00
5.100000e+01,3.214107e-01,2.507869e+00,4.488343e+00
5.200000e+01,6.666263e-01,2.597541e+00,4.593600e+00
5.300000e+01,1.150440e+00,2.536404e+00,4.709307e+00
5.400000e+01,1.401248e+00,2.551011e+00,4.741063e+00
5.500000e+01,8.567658e-01,2.645814e+00,4.822213e+00
5.600000e+01,4.544656e-01,2.774455e+00,4.886420e+00
5.700000e+01,1.864479e-01,2.706280e+00,4.925585e+00
5.800000e+01,4.775352e-02,2.710503e+00,4.946994e+00
5.900000e+01,3.590665e-02,2.791431e+00,4.942787e+00
6.000000e+01,1.506986e-01,2.944344e+00,4.982592e+00
